"","US.1.Mo","US.2.Mo","US.3.Mo","US.4.Mo","US.6.Mo","US.1.Yr","US.2.Yr","US.3.Yr","US.5.Yr","US.7.Yr","US.10.Yr","US.20.Yr","US.30.Yr"
"1","1.43","N/A","1.46","N/A","1.66","1.90","2.14","2.29","2.52","2.66","2.72","2.83","2.95"
"2","1.50","N/A","1.65","N/A","1.86","2.07","2.25","2.42","2.65","2.80","2.87","3.02","3.13"
"3","1.63","N/A","1.73","N/A","1.93","2.09","2.27","2.39","2.56","2.68","2.74","2.85","2.97"
"4","1.65","N/A","1.87","N/A","2.04","2.24","2.49","2.62","2.79","2.91","2.95","3.01","3.11"
"5","1.76","N/A","1.93","N/A","2.08","2.23","2.40","2.54","2.68","2.78","2.83","2.91","3.00"
"6","1.77","N/A","1.93","N/A","2.11","2.33","2.52","2.63","2.73","2.81","2.85","2.91","2.98"
"7","1.94","N/A","2.03","N/A","2.21","2.44","2.67","2.77","2.85","2.92","2.96","3.03","3.08"
"8","1.95","N/A","2.11","N/A","2.28","2.46","2.62","2.70","2.74","2.81","2.86","2.95","3.02"
"9","2.12","N/A","2.19","N/A","2.36","2.59","2.81","2.88","2.94","3.01","3.05","3.13","3.19"
"10","2.20","2.26","2.34","N/A","2.49","2.69","2.87","2.93","2.98","3.07","3.15","3.30","3.39"
"11","2.31","2.33","2.37","N/A","2.52","2.70","2.80","2.83","2.84","2.92","3.01","3.19","3.30"
"12","2.44","2.45","2.45","N/A","2.56","2.63","2.48","2.46","2.51","2.59","2.69","2.87","3.02"
"13","2.42","2.43","2.41","N/A","2.46","2.55","2.45","2.43","2.43","2.51","2.63","2.83","2.99"
"14","2.44","2.47","2.45","N/A","2.50","2.54","2.52","2.50","2.52","2.63","2.73","2.94","3.09"
"15","2.43","2.44","2.40","N/A","2.44","2.40","2.27","2.21","2.23","2.31","2.41","2.63","2.81"
"16","2.43","2.44","2.43","N/A","2.46","2.39","2.27","2.24","2.28","2.39","2.51","2.75","2.93"
"17","2.35","2.38","2.35","N/A","2.35","2.21","1.95","1.90","1.93","2.03","2.14","2.39","2.58"
"18","2.18","2.15","2.12","N/A","2.09","1.92","1.75","1.71","1.76","1.87","2.00","2.31","2.52"
"19","2.01","2.07","2.08","N/A","2.10","2.00","1.89","1.84","1.84","1.92","2.02","2.31","2.53"
"20","2.10","2.04","1.99","N/A","1.89","1.76","1.50","1.42","1.39","1.45","1.50","1.78","1.96"
"21","1.91","1.87","1.88","N/A","1.83","1.75","1.63","1.56","1.55","1.62","1.68","1.94","2.12"
"22","1.59","1.59","1.54","N/A","1.57","1.53","1.52","1.52","1.51","1.60","1.69","2.00","2.17"
"23","1.62","1.6","1.59","N/A","1.63","1.60","1.61","1.61","1.62","1.73","1.78","2.07","2.21"
"24","1.48","1.51","1.55","N/A","1.60","1.59","1.58","1.62","1.69","1.83","1.92","2.25","2.39"
"25","1.56","1.57","1.55","N/A","1.54","1.45","1.33","1.30","1.32","1.42","1.51","1.83","1.99"
"26","1.45","1.37","1.27","N/A","1.11","0.97","0.86","0.85","0.89","1.03","1.13","1.46","1.65"
"27","0.05","0.12","0.11","N/A","0.15","0.17","0.23","0.29","0.37","0.55","0.70","1.15","1.35"
"28","0.10","0.1","0.09","N/A","0.11","0.16","0.20","0.24","0.36","0.53","0.64","1.05","1.28"
"29","0.13","0.14","0.14","N/A","0.18","0.17","0.16","0.19","0.30","0.50","0.65","1.18","1.41"
"30","0.13","0.14","0.16","N/A","0.18","0.16","0.16","0.18","0.29","0.49","0.66","1.18","1.41"
"31","0.09","0.09","0.09","N/A","0.10","0.11","0.11","0.11","0.21","0.39","0.55","0.98","1.20"
"32","0.08","0.1","0.11","N/A","0.13","0.12","0.14","0.15","0.28","0.50","0.72","1.26","1.49"
"33","0.08","0.08","0.10","N/A","0.11","0.12","0.13","0.16","0.28","0.47","0.69","1.23","1.46"
"34","0.08","0.09","0.09","N/A","0.11","0.13","0.14","0.19","0.38","0.64","0.88","1.43","1.65"
"35","0.08","0.08","0.08","N/A","0.09","0.11","0.16","0.19","0.36","0.62","0.84","1.37","1.58"
"36","0.08","0.08","0.09","N/A","0.09","0.10","0.13","0.17","0.36","0.65","0.93","1.45","1.65"
"37","0.07","0.07","0.06","N/A","0.07","0.10","0.11","0.19","0.45","0.79","1.11","1.68","1.87"
"38","0.04","0.04","0.04","N/A","0.05","0.08","0.14","0.30","0.75","1.15","1.44","2.08","2.17"
"39","0.01","0.01","0.03","N/A","0.05","0.07","0.16","0.35","0.92","1.40","1.74","2.31","2.41"
"40","0.01","0.02","0.01","N/A","0.03","0.05","0.16","0.35","0.86","1.32","1.65","2.19","2.30"
"41","0.01","0.01","0.01","N/A","0.03","0.05","0.14","0.30","0.79","1.24","1.58","2.18","2.26"
"42","0.05","0.05","0.05","N/A","0.06","0.07","0.25","0.46","0.87","1.21","1.45","2.00","2.06"
"43","0.05","0.05","0.06","N/A","0.05","0.07","0.19","0.35","0.69","1.00","1.24","1.81","1.89"
"44","0.03","0.05","0.04","N/A","0.06","0.07","0.20","0.40","0.77","1.08","1.30","1.85","1.92"
"45","0.07","0.05","0.04","N/A","0.05","0.09","0.28","0.53","0.98","1.32","1.52","2.02","2.08"
"46","0.06","0.08","0.05","N/A","0.07","0.15","0.48","0.75","1.18","1.44","1.55","1.98","1.93"
"47","0.11","0.05","0.05","N/A","0.10","0.24","0.52","0.81","1.14","1.36","1.43","1.85","1.78"
"48","0.06","0.05","0.06","N/A","0.19","0.39","0.73","0.97","1.26","1.44","1.52","1.94","1.90"
"49","0.03","0.13","0.22","N/A","0.49","0.78","1.18","1.39","1.62","1.75","1.79","2.17","2.11"
"50","0.06","0.2","0.35","N/A","0.69","1.01","1.44","1.62","1.71","1.81","1.83","2.25","2.17"
"51","0.17","0.35","0.52","N/A","1.06","1.63","2.28","2.45","2.42","2.40","2.32","2.59","2.44"
"52","0.37","0.73","0.85","N/A","1.41","2.10","2.70","2.87","2.92","2.94","2.89","3.14","2.96"
"53","0.73","0.89","1.16","N/A","1.64","2.08","2.53","2.71","2.81","2.87","2.85","3.28","3.07"
"54","1.28","1.68","1.72","N/A","2.51","2.80","2.92","2.99","3.01","3.04","2.98","3.38","3.14"
"55","2.22","2.28","2.41","N/A","2.91","2.98","2.89","2.83","2.70","2.70","2.67","3.20","3.00"
"56","2.40","2.72","2.96","N/A","3.32","3.50","3.45","3.46","3.30","3.25","3.15","3.53","3.27"
"57","2.79","3.2","3.33","N/A","3.92","4.05","4.22","4.25","4.06","3.97","3.83","4.08","3.79"
"58","3.73","4","4.22","4.33","4.57","4.66","4.51","4.45","4.27","4.18","4.10","4.44","4.22"
"59","4.07","4.25","4.37","4.55","4.70","4.74","4.38","4.13","3.82","3.76","3.68","4.00","3.80"
"60","4.12","4.41","4.42","4.69","4.76","4.73","4.41","4.22","3.99","3.96","3.88","4.14","3.97"
"61","4.58","4.64","4.70","4.74","4.80","4.68","4.21","3.90","3.63","3.59","3.52","3.78","3.65"
"62","4.65","4.81","4.88","5","5.17","5.02","4.81","4.51","4.18","4.07","3.92","4.10","3.93"
"63","4.74","4.79","4.85","4.97","4.94","4.64","4.06","3.81","3.60","3.55","3.48","3.81","3.67"
"64","4.35","5.14","5.10","5.2","5.06","4.80","4.04","3.75","3.51","3.49","3.44","3.80","3.67"
"65","5.28","5.37","5.52","5.53","5.46","5.18","4.40","4.04","3.74","3.69","3.64","4.01","3.85"
"66","5.24","5.39","5.43","5.5","5.47","5.40","4.87","4.49","4.13","3.97","3.81","4.06","3.85"
"67","5.48","5.54","5.55","5.56","5.53","5.37","4.88","4.51","4.18","4.08","3.97","4.22","4.02"
"68","5.52","5.55","5.56","5.61","5.48","5.37","4.85","4.54","4.23","4.19","4.09","4.39","4.20"
"69","5.55","5.6","5.55","5.61","5.53","5.46","5.03","4.80","4.60","4.61","4.59","4.92","4.73"
"70","5.56","5.57","5.59","5.61","5.54","5.44","5.07","4.90","4.82","4.89","4.88","5.21","5.04"
"71","5.56","5.54","5.45","5.49","5.38","5.16","4.73","4.48","4.31","4.38","4.37","4.72","4.54"
"72","5.60","5.59","5.40","5.41","5.26","4.79","4.23","4.01","3.84","3.88","3.88","4.20","4.03"
"73","5.53","5.46","5.42","5.4","5.18","4.73","4.27","4.05","3.91","3.95","3.99","4.34","4.22"
"74","5.53","5.5","5.45","5.43","5.30","5.01","4.64","4.43","4.26","4.28","4.25","4.51","4.38"
"75","5.49","5.48","5.46","5.42","5.38","5.03","4.59","4.40","4.21","4.20","4.20","4.45","4.34"
"76","5.48","5.49","5.43","5.41","5.34","5.03","4.74","4.52","4.37","4.38","4.36","4.60","4.50"
